State,Region,City,seller_type,name
Texas,Central,Houston,Individual,Maruti Swift Dzire VXI 1.2
Massachusetts,East,Boston,Individual,Maruti Alto 800 LXI
Illinois,Central,Chicago,Individual,Maruti Swift VXI Optional
Texas,Central,Dallas,Individual,Tata Hexa XE
Georgia,South,Atlanta,Individual,Hyundai i20 Magna
Illinois,Central,Chicago,Individual,Maruti Swift Dzire VDI
Washington,West,Seattle,Individual,Maruti Wagon R VXI BS IV
Massachusetts,East,Boston,Individual,Honda Brio S MT
Massachusetts,East,Boston,Individual,Maruti Baleno Alpha Automatic
New York,East,New York City,Individual,Maruti Alto LXi
Georgia,South,Atlanta,Individual,Renault KWID RXT
Georgia,South,Atlanta,Individual,Datsun GO T BSIV
Pennsylvania,East,Philadelphia,Individual,Maruti Vitara Brezza VDi Option
Massachusetts,East,Boston,Individual,Maruti Alto 800 LXI
Washington,West,Seattle,Individual,Hyundai i20 1.2 Sportz
Washington,West,Seattle,Individual,Tata Zest Revotron 1.2 XT
Michigan,Central,Detroit,Individual,Nissan Sunny XL
Michigan,Central,Detroit,Individual,Ford EcoSport 1.5 Petrol Titanium Plus BSIV
Michigan,Central,Detroit,Individual,Nissan Micra Active XV S
Massachusetts,East,Boston,Individual,Mahindra Ssangyong Rexton RX5
Illinois,Central,Chicago,Individual,Mahindra Quanto C8
Illinois,Central,Chicago,Individual,Maruti Ritz LDi
Michigan,Central,Detroit,Individual,Hyundai Creta 1.6 CRDi SX Plus Dual Tone
District of Columbia,East,Washington,Individual,Renault KWID RXT
District of Columbia,East,Washington,Individual,Maruti Ertiga VDI
Illinois,Central,Chicago,Individual,Mahindra XUV500 W4
District of Columbia,East,Washington,Individual,Maruti Eeco 5 Seater AC BSIV
District of Columbia,East,Washington,Individual,Hyundai Santro Xing GLS
Pennsylvania,East,Philadelphia,Individual,Mahindra XUV500 W8 2WD
California,West,Los Angeles,Individual,Honda Amaze S CVT Petrol BSIV
California,West,Los Angeles,Individual,Hyundai i10 Sportz 1.2
Texas,Central,Dallas,Individual,Maruti Swift Dzire VDI
Texas,Central,Dallas,Individual,Maruti Ertiga SHVS ZDI Plus
California,West,San Diego,Individual,Hyundai Getz 1.3 GVS
California,West,San Diego,Individual,Hyundai i20 1.2 Magna
New York,East,New York City,Individual,Maruti Swift LXI Optional-O
California,West,Los Angeles,Individual,Tata Indica Vista TDI LS
Massachusetts,East,Boston,Individual,Hyundai i20 2015-2017 Asta 1.4 CRDi
Massachusetts,East,Boston,Individual,Maruti Ignis 1.3 Alpha
Florida,South,Miami,Individual,Tata Hexa XTA
Florida,South,Miami,Individual,Mahindra Marazzo M6 8Str
California,West,Los Angeles,Individual,Hyundai Verna 1.6 CRDI
California,West,Los Angeles,Individual,Maruti Swift Dzire VDI
California,West,Los Angeles,Individual,Maruti Swift Dzire LDi
Washington,West,Seattle,Individual,Honda City i DTEC V
Michigan,Central,Detroit,Individual,Maruti Swift Dzire ZDi
California,West,San Francisco,Individual,Hyundai Xcent 1.2 CRDi E
California,West,San Francisco,Individual,Toyota Fortuner 3.0 Diesel
California,West,San Francisco,Individual,Tata Tiago 1.05 Revotorq XZ
Texas,Central,Houston,Individual,Hyundai Elite i20 Magna Plus BSIV
California,West,San Diego,Individual,Maruti Swift Dzire VXI
California,West,San Diego,Individual,Toyota Innova 2.5 GX 7 STR
Pennsylvania,East,Philadelphia,Individual,Mahindra Thar CRDe
Michigan,Central,Detroit,Individual,Maruti Swift Dzire ZDi
California,West,San Diego,Individual,Hyundai i20 Asta 1.4 CRDi
California,West,San Diego,Individual,Mahindra Scorpio LX
North Carolina,South,Charlotte,Individual,Tata Sumo Gold EX BSIII
Washington,West,Seattle,Individual,Hyundai Accent GLE
District of Columbia,East,Washington,Dealer,Honda Brio Exclusive Edition
District of Columbia,East,Washington,Dealer,Hyundai Grand i10 AT Asta
North Carolina,South,Charlotte,Individual,Tata Manza Club Class Quadrajet90 LX
North Carolina,South,Charlotte,Individual,Maruti Alto LX
California,West,Los Angeles,Individual,Tata New Safari DICOR 2.2 EX 4x2
California,West,Los Angeles,Individual,Mahindra Bolero SLE
District of Columbia,East,Washington,Individual,Mahindra Bolero DI DX 7 Seater
Texas,Central,Houston,Individual,Mercedes-Benz GL-Class 220d 4MATIC Sport
Florida,South,Miami,Individual,Maruti Omni E MPI STD BS IV
Washington,West,Seattle,Individual,Hyundai Grand i10 Sportz
Illinois,Central,Chicago,Individual,Hyundai Grand i10 Sportz
New York,East,New York City,Individual,Hyundai i10 Sportz AT
New York,East,New York City,Individual,Maruti Swift VXI Deca
New York,East,New York City,Individual,Hyundai i10 Sportz AT
Georgia,South,Atlanta,Individual,Maruti Swift VXI
California,West,Los Angeles,Individual,Maruti Swift VXI
Massachusetts,East,Boston,Individual,Mahindra Bolero 2011-2019 ZLX
Massachusetts,East,Boston,Individual,Hyundai Verna 1.6 SX VTVT (O)
California,West,Los Angeles,Individual,Hyundai i20 Active 1.2
Georgia,South,Atlanta,Individual,Maruti Baleno Zeta
New York,East,New York City,Individual,Hyundai i20 1.2 Asta
New York,East,New York City,Individual,Maruti Alto LXI
California,West,Los Angeles,Individual,Maruti Swift Dzire VDI
California,West,Los Angeles,Individual,Maruti Swift Dzire VXI
Florida,South,Miami,Individual,Hyundai Grand i10 CRDi Sportz
Massachusetts,East,Boston,Individual,Maruti 800 Std
Massachusetts,East,Boston,Individual,Honda City i-DTEC VX
Washington,West,Seattle,Individual,Honda City i-DTEC VX
California,West,Los Angeles,Individual,Nissan Terrano XV Premium 110 PS
Washington,West,Seattle,Individual,Honda City i VTEC VX
District of Columbia,East,Washington,Individual,Renault KWID RXL
District of Columbia,East,Washington,Individual,Toyota Innova 2.5 GX (Diesel) 8 Seater
Illinois,Central,Chicago,Individual,Maruti Wagon R VXI BS IV
Washington,West,Seattle,Individual,Hyundai Creta 1.4 CRDi S Plus
Washington,West,Seattle,Individual,Tata Tiago 1.2 Revotron XZ
Washington,West,Seattle,Individual,Hyundai Grand i10 1.2 CRDi Sportz
Washington,West,Seattle,Individual,Maruti Baleno Zeta Automatic
New York,East,New York City,Individual,Maruti Swift ZXI ABS
New York,East,New York City,Individual,Maruti Swift Dzire VXi AT
New York,East,New York City,Individual,Maruti Swift LXI Option
Illinois,Central,Chicago,Individual,Hyundai i20 1.2 Asta
Illinois,Central,Chicago,Individual,Maruti Zen LXI
California,West,San Diego,Individual,Maruti Celerio LXI
California,West,San Diego,Individual,Toyota Innova 2.5 V Diesel 8-seater
California,West,San Diego,Individual,Maruti Ritz LDi
California,West,San Diego,Individual,Nissan Micra Diesel XV
California,West,San Diego,Individual,Maruti Zen LXI
California,West,Los Angeles,Individual,Hyundai Verna 1.6 SX VTVT (O)
Texas,Central,Dallas,Individual,Maruti Alto LX
New York,East,New York City,Individual,Maruti Swift Dzire ZDi
New York,East,New York City,Individual,Maruti A-Star Vxi
Florida,South,Miami,Individual,Maruti Swift Ldi BSIII
Washington,West,Seattle,Individual,Nissan Micra Diesel XV
Washington,West,Seattle,Individual,Maruti Wagon R LXI
California,West,Los Angeles,Individual,Ford Figo Diesel Titanium
California,West,Los Angeles,Dealer,Mahindra XUV300 W8 Option BSIV
District of Columbia,East,Washington,Individual,Hyundai Creta 1.6 CRDi AT SX Plus
District of Columbia,East,Washington,Dealer,Maruti Swift VXI BSIV
North Carolina,South,Charlotte,Dealer,Datsun GO T Option BSIV
California,West,Los Angeles,Dealer,Hyundai Grand i10 Asta
New York,East,New York City,Individual,Toyota Fortuner 2.8 2WD MT BSIV
New York,East,New York City,Dealer,Renault KWID RXL
New York,East,New York City,Dealer,Honda Brio 1.2 VX MT
Georgia,South,Atlanta,Dealer,Volkswagen Ameo 1.2 MPI Comfortline Plus
California,West,Los Angeles,Dealer,Nissan Sunny XV Special Edition
North Carolina,South,Charlotte,Dealer,Toyota Etios Liva GD SP
New York,East,New York City,Dealer,Hyundai i10 Sportz
District of Columbia,East,Washington,Dealer,Renault Duster 85PS Diesel RxL
Texas,Central,Dallas,Dealer,Mahindra XUV500 W8 2WD
Pennsylvania,East,Philadelphia,Individual,Toyota Innova 2.5 V Diesel 7-seater
Pennsylvania,East,Philadelphia,Individual,Tata Indigo CS eGLX BS IV
Pennsylvania,East,Philadelphia,Dealer,Hyundai Elantra SX AT
Washington,West,Seattle,Individual,Mercedes-Benz New C-Class 220 CDI AT
Illinois,Central,Chicago,Dealer,Tata Nano STD
California,West,Los Angeles,Individual,Nissan Micra Diesel XL
California,West,Los Angeles,Individual,Maruti Wagon R LXI
California,West,Los Angeles,Individual,Maruti Swift Dzire VDI
New York,East,New York City,Individual,Hyundai i10 Magna
California,West,Los Angeles,Individual,Renault KWID RXT
California,West,Los Angeles,Individual,Volkswagen GTI 1.8 TSI
California,West,Los Angeles,Dealer,Jaguar XE 2016-2019 2.0L Diesel Prestige
New York,East,New York City,Dealer,Lexus ES 300h
California,West,Los Angeles,Dealer,Jaguar XF 2.0 Diesel Portfolio
Michigan,Central,Detroit,Individual,Tata Safari Storme EX
Michigan,Central,Detroit,Individual,Volvo XC40 D4 Inscription BSIV
Washington,West,Seattle,Trustmark Dealer,Toyota Camry 2.5 Hybrid
California,West,San Francisco,Trustmark Dealer,Maruti Wagon R LXI
California,West,Los Angeles,Dealer,Maruti Baleno Alpha 1.3
New York,East,New York City,Trustmark Dealer,Honda Jazz VX
North Carolina,South,Charlotte,Trustmark Dealer,Toyota Innova 2.5 VX (Diesel) 7 Seater
Florida,South,Miami,Trustmark Dealer,Maruti Swift AMT VVT VXI
Florida,South,Miami,Trustmark Dealer,Toyota Etios VX
California,West,Los Angeles,Dealer,Maruti Swift AMT ZXI
California,West,Los Angeles,Dealer,Hyundai Grand i10 1.2 CRDi Sportz
Florida,South,Miami,Dealer,BMW X4 M Sport X xDrive20d
Michigan,Central,Detroit,Dealer,Skoda Rapid 1.6 MPI AT Elegance
Michigan,Central,Detroit,Dealer,Volvo V40 D3 R-Design
Michigan,Central,Detroit,Individual,Hyundai i10 Magna
Washington,West,Seattle,Individual,Honda CR-V 2.4L 4WD AT
New York,East,New York City,Individual,Maruti Swift Dzire VDI
New York,East,New York City,Individual,Hyundai Verna 1.6 SX CRDi (O)
Washington,West,Seattle,Individual,Toyota Innova 2.5 G1 Diesel 8-seater
Washington,West,Seattle,Individual,Maruti SX4 Celebration Diesel
Texas,Central,Dallas,Individual,Hyundai Verna XXi ABS (Petrol)
California,West,Los Angeles,Individual,Hyundai Verna CRDi SX
Illinois,Central,Chicago,Individual,Maruti Alto 800 VXI
Pennsylvania,East,Philadelphia,Individual,Honda City i-VTEC CVT V
California,West,Los Angeles,Individual,Maruti Swift Dzire AMT VDI
New York,East,New York City,Individual,Tata Indigo LS
Michigan,Central,Detroit,Individual,Maruti Eeco CNG 5 Seater AC
Michigan,Central,Detroit,Individual,Maruti Alto K10 VXI
North Carolina,South,Charlotte,Individual,Mahindra XUV500 AT W10 AWD
North Carolina,South,Charlotte,Individual,Maruti Alto K10 LXI
New York,East,New York City,Individual,Tata Tiago 1.2 Revotron XE
California,West,San Francisco,Dealer,Jaguar XE 2016-2019 2.0L Diesel Prestige
Georgia,South,Atlanta,Dealer,Lexus ES 300h
New York,East,New York City,Dealer,Jaguar XF 2.0 Diesel Portfolio
New York,East,New York City,Individual,Tata Safari Storme EX
California,West,Los Angeles,Individual,Volvo XC40 D4 Inscription BSIV
Michigan,Central,Detroit,Trustmark Dealer,Toyota Camry 2.5 Hybrid
Michigan,Central,Detroit,Trustmark Dealer,Maruti Wagon R LXI
New York,East,New York City,Dealer,Maruti Baleno Alpha 1.3
Florida,South,Miami,Trustmark Dealer,Honda Jazz VX
Florida,South,Miami,Trustmark Dealer,Maruti Swift AMT VVT VXI
New York,East,New York City,Trustmark Dealer,Toyota Etios VX
New York,East,New York City,Dealer,Maruti Swift AMT ZXI
Michigan,Central,Detroit,Dealer,Hyundai Grand i10 1.2 CRDi Sportz
Massachusetts,East,Boston,Dealer,BMW X4 M Sport X xDrive20d
California,West,Los Angeles,Dealer,BMW X4 M Sport X xDrive20d
California,West,Los Angeles,Trustmark Dealer,Honda Amaze V CVT Petrol BSIV
California,West,Los Angeles,Dealer,Skoda Rapid 1.6 MPI AT Elegance
California,West,Los Angeles,Dealer,Volvo V40 D3 R-Design
California,West,Los Angeles,Individual,Honda Amaze S CVT Diesel BSIV
Illinois,Central,Chicago,Individual,Maruti Alto LXi BSIII
Illinois,Central,Chicago,Individual,Hyundai Xcent 1.1 CRDi S Option
California,West,Los Angeles,Individual,Toyota Innova 2.5 G (Diesel) 7 Seater
California,West,Los Angeles,Individual,Toyota Etios Liva Diesel
Georgia,South,Atlanta,Individual,Toyota Innova 2.5 V Diesel 7-seater
Georgia,South,Atlanta,Individual,Nissan Micra Diesel XV
California,West,Los Angeles,Individual,Maruti 800 AC BSIII
New York,East,New York City,Individual,Maruti Swift Dzire VDI
New York,East,New York City,Individual,Volkswagen Polo 1.5 TDI Highline
District of Columbia,East,Washington,Individual,Maruti 800 AC BSIII
California,West,Los Angeles,Individual,Maruti Swift VDI Optional
California,West,Los Angeles,Individual,Hyundai Xcent 1.2 Kappa S Option
New York,East,New York City,Individual,Maruti 800 Std
New York,East,New York City,Individual,Maruti Celerio VXI
Florida,South,Miami,Individual,Ford Figo Diesel EXI
California,West,Los Angeles,Individual,Tata Safari DICOR 2.2 LX 4x2
California,West,Los Angeles,Individual,Ford Figo 1.2P Titanium Plus MT
Illinois,Central,Chicago,Individual,Maruti Celerio ZXI
Texas,Central,Dallas,Individual,Hyundai Creta 1.6 VTVT S
Texas,Central,Dallas,Individual,Maruti Swift Dzire VXI 1.2
New York,East,New York City,Individual,Ford EcoSport 1.5 Diesel Titanium Plus BSIV
New York,East,New York City,Individual,Hyundai i20 Active 1.4 SX with AVN
California,West,Los Angeles,Individual,Hyundai i20 Asta 1.4 CRDi
California,West,Los Angeles,Individual,Honda Amaze S CVT Diesel BSIV
New York,East,New York City,Individual,Mahindra Bolero 2011-2019 SLE
California,West,Los Angeles,Individual,Nissan Terrano XL Plus 85 PS
California,West,Los Angeles,Individual,Maruti Swift VXI Windsong Limited edition
California,West,Los Angeles,Individual,Datsun RediGO 1.0 S
Florida,South,Miami,Individual,Toyota Innova 2.5 G (Diesel) 7 Seater
Pennsylvania,East,Philadelphia,Individual,Hyundai i20 Magna 1.2
Illinois,Central,Chicago,Individual,Toyota Innova 2.5 VX (Diesel) 7 Seater
Texas,Central,Houston,Individual,Maruti Baleno Alpha 1.3
Texas,Central,Houston,Dealer,Renault Duster 110PS Diesel RxZ
California,West,Los Angeles,Individual,Chevrolet Enjoy 1.3 TCDi LS 7
California,West,Los Angeles,Individual,Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta
Illinois,Central,Chicago,Individual,Toyota Fortuner 4x2 AT
Illinois,Central,Chicago,Individual,Maruti Swift Dzire VDI
California,West,Los Angeles,Individual,Toyota Fortuner 4x2 AT
New York,East,New York City,Individual,Chevrolet Captiva LT
Michigan,Central,Detroit,Individual,Tata Indica Vista Aqua 1.4 TDI
Illinois,Central,Chicago,Individual,Nissan Micra Active XL Petrol
Illinois,Central,Chicago,Individual,Hyundai Verna Transform CRDi VGT SX ABS
North Carolina,South,Charlotte,Individual,Mahindra KUV 100 mFALCON D75 K8
North Carolina,South,Charlotte,Individual,Maruti Ertiga VXI
New York,East,New York City,Individual,Ford Fiesta Titanium 1.5 TDCi
North Carolina,South,Charlotte,Individual,Hyundai i10 Magna 1.1L
Pennsylvania,East,Philadelphia,Individual,Maruti A-Star Vxi
Pennsylvania,East,Philadelphia,Individual,Maruti Wagon R VXI BSIII
District of Columbia,East,Washington,Individual,Hyundai Verna 1.6 CRDi S
District of Columbia,East,Washington,Individual,Maruti Ertiga SHVS VDI
District of Columbia,East,Washington,Individual,Maruti Swift VDI BSIV
North Carolina,South,Charlotte,Individual,Hyundai Verna 1.6 VTVT S Option
North Carolina,South,Charlotte,Individual,Maruti Swift VDI BSIV
California,West,Los Angeles,Individual,Mahindra KUV 100 D75 K6 Plus
North Carolina,South,Charlotte,Individual,Kia Seltos HTE D
Texas,Central,Dallas,Individual,Hyundai Xcent 1.2 VTVT S
District of Columbia,East,Washington,Individual,Honda Brio 1.2 S MT
Washington,West,Seattle,Individual,Maruti Alto 800 LXI
California,West,Los Angeles,Individual,Maruti Celerio LDi
Washington,West,Seattle,Individual,Maruti Swift Dzire VXi
Washington,West,Seattle,Individual,Volkswagen Vento Diesel Trendline
Florida,South,Miami,Individual,Chevrolet Beat LS
New York,East,New York City,Individual,Toyota Etios Liva GD
New York,East,New York City,Individual,Hyundai Grand i10 AT Asta
New York,East,New York City,Individual,Maruti Swift Dzire VDI
Washington,West,Seattle,Individual,Honda Civic 1.8 V AT
Texas,Central,Dallas,Individual,Maruti Ertiga BSIV VXI
California,West,Los Angeles,Individual,Maruti Alto 800 VXI
California,West,Los Angeles,Individual,Maruti Alto 800 VXI
