sales_id,ad_placed_on,sold_on,original_selling_price,Region,State,City,seller_type,owner,car_id
34,12/4/2020 1:40:00 PM,12/17/2020 7:41:00 PM,730000,West,Washington,Seattle,Individual,First Owner,123510
35,12/4/2020 1:45:00 PM,12/18/2020 10:35:00 PM,650000,West,Washington,Seattle,Individual,First Owner,123511
36,12/4/2020 2:13:00 PM,12/11/2020 2:46:00 PM,330000,West,Washington,Seattle,Individual,Second Owner,123512
37,12/4/2020 2:23:00 PM,12/26/2020 3:03:00 PM,366000,West,Washington,Seattle,Individual,First Owner,123513
38,12/4/2020 2:44:00 PM,12/31/2020 2:23:00 PM,1149000,East,District of Columbia,Washington,Individual,First Owner,123514
39,12/4/2020 2:49:00 PM,12/31/2020 11:13:00 PM,150000,West,California,Los Angeles,Individual,First Owner,123515
40,12/4/2020 2:51:00 PM,null,425000,South,North Carolina,Charlotte,Individual,Second Owner,123516
41,12/4/2020 3:02:00 PM,12/26/2020 1:21:00 PM,150000,West,California,Los Angeles,Individual,First Owner,123517
42,12/4/2020 3:02:00 PM,null,2100000,East,New York,New York City,Individual,First Owner,123518
43,12/4/2020 3:07:00 PM,12/31/2020 9:57:00 PM,925000,East,New York,New York City,Dealer,First Owner,123519
44,12/4/2020 3:10:00 PM,12/13/2020 3:56:00 PM,425000,East,New York,New York City,Dealer,First Owner,123520
45,12/4/2020 3:12:00 PM,12/24/2020 8:35:00 PM,675000,East,New York,New York City,Dealer,First Owner,123521
46,12/4/2020 3:35:00 PM,12/28/2020 3:03:00 PM,819999,Central,Illinois,Chicago,Dealer,First Owner,123522
47,12/4/2020 3:44:00 PM,1/17/2021 8:38:00 AM,390000,East,New York,New York City,Dealer,First Owner,123523
48,12/4/2020 4:02:00 PM,1/7/2021 4:55:00 PM,1500000,West,Washington,Seattle,Dealer,First Owner,123524
49,12/4/2020 4:05:00 PM,1/3/2021 10:08:00 AM,700000,East,New York,New York City,Dealer,First Owner,123525
50,12/4/2020 4:08:00 PM,12/21/2020 4:19:00 PM,1450000,East,New York,New York City,Dealer,Second Owner,123526
51,12/4/2020 4:28:00 PM,null,425000,East,New York,New York City,Dealer,First Owner,123527
52,12/4/2020 4:40:00 PM,12/13/2020 3:56:00 PM,1090000,West,Washington,Seattle,Dealer,First Owner,123528
53,12/4/2020 4:41:00 PM,12/29/2020 12:53:00 PM,600000,West,California,Los Angeles,Dealer,First Owner,123529
54,12/4/2020 5:08:00 PM,1/21/2021 10:38:00 AM,850000,East,New York,New York City,Dealer,First Owner,123530
55,12/4/2020 5:25:00 PM,12/13/2020 3:45:00 PM,525000,South,Georgia,Atlanta,Dealer,First Owner,123531
56,12/4/2020 6:02:00 PM,12/31/2020 1:17:00 PM,1650000,East,Massachusetts,Boston,Dealer,Second Owner,123532
57,12/4/2020 6:07:00 PM,1/29/2021 3:23:00 PM,950000,South,Georgia,Atlanta,Dealer,First Owner,123533
58,12/4/2020 6:52:00 PM,1/4/2021 5:54:00 PM,1750000,South,Georgia,Atlanta,Dealer,Second Owner,123534
59,12/4/2020 7:01:00 PM,12/31/2020 5:06:00 PM,1590000,South,Florida,Miami,Dealer,First Owner,123535
60,12/4/2020 7:25:00 PM,1/17/2021 1:07:00 PM,1689999,East,Massachusetts,Boston,Dealer,First Owner,123536
61,12/4/2020 7:30:00 PM,12/13/2020 3:10:00 AM,1425000,East,Massachusetts,Boston,Dealer,First Owner,123537
62,12/4/2020 7:41:00 PM,null,265000,East,Pennsylvania,Philadelphia,Individual,First Owner,123538
63,12/4/2020 7:41:00 PM,1/17/2021 9:23:00 AM,190000,West,California,San Diego,Individual,Third Owner,123539
64,12/4/2020 8:41:00 PM,1/3/2021 3:17:00 PM,425000,West,California,San Francisco,Individual,First Owner,123540
65,12/4/2020 8:41:00 PM,null,630000,West,California,San Francisco,Individual,Second Owner,123541
66,12/4/2020 9:25:00 PM,1/5/2021 11:04:00 AM,600000,East,District of Columbia,Washington,Individual,Third Owner,123542
67,12/4/2020 9:32:00 PM,1/7/2021 3:11:00 PM,650000,East,New York,New York City,Individual,First Owner,123543
68,12/4/2020 9:35:00 PM,12/18/2020 10:57:00 PM,540000,East,District of Columbia,Washington,Individual,First Owner,123544
69,12/4/2020 9:54:00 PM,2/12/2021 8:31:00 PM,630000,East,District of Columbia,Washington,Individual,First Owner,123545
70,12/4/2020 10:03:00 PM,12/17/2020 3:36:00 PM,448000,East,District of Columbia,Washington,Individual,First Owner,123546
71,12/4/2020 10:15:00 PM,12/13/2020 4:00:00 PM,500000,Central,Illinois,Chicago,Individual,First Owner,123547
72,12/4/2020 10:33:00 PM,1/8/2021 2:03:00 PM,745000,East,Massachusetts,Boston,Individual,First Owner,123548
73,12/4/2020 10:43:00 PM,12/13/2020 3:44:00 PM,1025000,East,Massachusetts,Boston,Individual,First Owner,123549
74,12/4/2020 11:08:00 PM,1/4/2021 12:45:00 PM,235000,East,New York,New York City,Individual,Second Owner,123550
75,12/4/2020 11:26:00 PM,12/31/2020 9:49:00 PM,630000,West,California,Los Angeles,Individual,First Owner,123551
76,12/4/2020 11:39:00 PM,12/20/2020 7:14:00 PM,1700000,West,California,Los Angeles,Individual,Second Owner,123552
77,12/4/2020 11:45:00 PM,12/24/2020 4:25:00 PM,450000,Central,Texas,Dallas,Individual,Second Owner,123553
78,12/4/2020 11:59:00 PM,12/16/2020 10:41:00 AM,450000,South,Florida,Miami,Individual,Second Owner,123554
80,12/5/2020 12:32:00 AM,12/31/2020 2:03:00 PM,450000,South,North Carolina,Charlotte,Individual,First Owner,123556
81,12/5/2020 1:47:00 AM,null,1200000,East,New York,New York City,Individual,First Owner,123557
82,12/5/2020 7:31:00 AM,12/16/2020 2:36:00 PM,610000,Central,Illinois,Chicago,Individual,First Owner,123558
83,12/5/2020 8:01:00 AM,12/17/2020 4:47:00 PM,2500000,Central,Illinois,Chicago,Individual,Second Owner,123559
84,12/5/2020 8:04:00 AM,1/17/2021 4:23:00 PM,484999,South,Florida,Miami,Dealer,First Owner,123560
85,12/5/2020 8:41:00 AM,12/31/2020 9:41:00 PM,275000,South,Florida,Miami,Dealer,First Owner,123561
86,12/5/2020 8:46:00 AM,12/14/2020 3:10:00 AM,315000,South,Florida,Miami,Dealer,First Owner,123562
87,12/5/2020 9:19:00 AM,12/26/2020 10:38:00 AM,275000,East,New York,New York City,Dealer,First Owner,123563
89,12/5/2020 9:46:00 AM,12/14/2020 2:49:00 AM,290000,South,Florida,Miami,Dealer,First Owner,123565
90,12/5/2020 11:01:00 AM,12/13/2020 3:49:00 PM,280000,Central,Michigan,Detroit,Dealer,First Owner,123566
91,12/5/2020 11:05:00 AM,1/14/2021 3:03:00 PM,225000,Central,Michigan,Detroit,Dealer,First Owner,123567
92,12/5/2020 11:08:00 AM,12/13/2020 7:45:00 AM,455000,South,North Carolina,Charlotte,Dealer,First Owner,123568
93,12/5/2020 11:23:00 AM,null,351000,South,North Carolina,Charlotte,Dealer,Second Owner,123569
94,12/5/2020 11:44:00 AM,12/28/2020 12:23:00 PM,535000,East,Pennsylvania,Philadelphia,Dealer,Second Owner,123570
95,12/5/2020 11:54:00 AM,null,175000,East,Pennsylvania,Philadelphia,Dealer,First Owner,123571
96,12/5/2020 12:32:00 PM,12/13/2020 4:03:00 PM,525000,East,Pennsylvania,Philadelphia,Dealer,First Owner,123572
97,12/5/2020 12:34:00 PM,1/4/2021 2:31:00 PM,600000,East,Massachusetts,Boston,Individual,First Owner,123573
98,12/5/2020 12:41:00 PM,12/26/2020 1:31:00 PM,565000,South,Georgia,Atlanta,Dealer,First Owner,123574
99,12/5/2020 12:44:00 PM,1/17/2021 7:53:00 PM,120000,West,California,Los Angeles,Dealer,Third Owner,123575
100,12/5/2020 1:12:00 PM,12/27/2020 12:33:00 PM,725000,West,California,Los Angeles,Individual,First Owner,123576
101,12/5/2020 1:22:00 PM,null,185000,East,District of Columbia,Washington,Dealer,Second Owner,123577
102,12/5/2020 2:16:00 PM,null,200000,East,District of Columbia,Washington,Individual,Second Owner,123578
103,12/5/2020 2:36:00 PM,null,615000,East,District of Columbia,Washington,Individual,First Owner,123579
104,12/5/2020 2:40:00 PM,12/24/2020 4:20:00 PM,270000,East,Pennsylvania,Philadelphia,Individual,Third Owner,123580
105,12/5/2020 2:49:00 PM,12/18/2020 7:17:00 PM,610000,East,Pennsylvania,Philadelphia,Individual,First Owner,123581
106,12/5/2020 3:08:00 PM,12/13/2020 3:44:00 PM,625000,East,Pennsylvania,Philadelphia,Individual,Second Owner,123582
107,12/5/2020 3:17:00 PM,12/25/2020 8:28:00 PM,400000,Central,Texas,Houston,Individual,Second Owner,123583
108,12/5/2020 4:57:00 PM,null,866000,East,New York,New York City,Individual,First Owner,123584
109,12/5/2020 5:09:00 PM,1/7/2021 1:55:00 PM,700000,West,California,Los Angeles,Individual,First Owner,123585
110,12/5/2020 5:11:00 PM,12/31/2020 9:41:00 PM,300000,Central,Illinois,Chicago,Individual,First Owner,123586
111,12/5/2020 5:14:00 PM,12/24/2020 4:33:00 PM,1700000,East,New York,New York City,Individual,First Owner,123587
112,12/5/2020 5:16:00 PM,1/1/2021 6:18:00 PM,375000,East,New York,New York City,Individual,First Owner,123588
113,12/5/2020 5:21:00 PM,null,522000,East,New York,New York City,Individual,Second Owner,123589
114,12/5/2020 6:06:00 PM,null,451999,East,New York,New York City,Individual,First Owner,123590
115,12/5/2020 7:09:00 PM,12/18/2020 8:37:00 PM,300000,East,New York,New York City,Individual,Second Owner,123591
116,12/5/2020 8:09:00 PM,12/24/2020 6:11:00 PM,475000,East,New York,New York City,Individual,First Owner,123592
117,12/5/2020 8:20:00 PM,12/20/2020 6:14:00 PM,780000,West,California,Los Angeles,Individual,First Owner,123593
118,12/5/2020 8:20:00 PM,1/26/2021 8:16:00 AM,595000,West,California,Los Angeles,Individual,First Owner,123594
119,12/5/2020 8:36:00 PM,12/16/2020 5:51:00 PM,440000,West,California,Los Angeles,Individual,First Owner,123595
121,12/5/2020 9:03:00 PM,null,400000,East,District of Columbia,Washington,Individual,Third Owner,123597
122,12/5/2020 9:10:00 PM,12/31/2020 1:27:00 PM,1140000,East,Pennsylvania,Philadelphia,Individual,First Owner,123598
123,12/5/2020 10:24:00 PM,12/17/2020 7:31:00 PM,850000,East,New York,New York City,Individual,First Owner,123599
124,12/5/2020 10:39:00 PM,12/13/2020 4:03:00 PM,370000,South,North Carolina,Charlotte,Individual,Fourth & Above Owner,123600
125,12/5/2020 10:44:00 PM,null,350000,East,Massachusetts,Boston,Individual,First Owner,123601
126,12/5/2020 10:49:00 PM,null,360000,East,Massachusetts,Boston,Individual,Second Owner,123602
127,12/5/2020 10:53:00 PM,12/18/2020 8:14:00 PM,105000,East,Massachusetts,Boston,Individual,Fourth & Above Owner,123603
128,12/5/2020 11:14:00 PM,12/19/2020 8:57:00 PM,625000,West,California,San Francisco,Individual,Second Owner,123604
129,12/6/2020 12:06:00 AM,12/31/2020 9:45:00 AM,135000,West,Washington,Seattle,Individual,Second Owner,123605
130,12/6/2020 12:12:00 AM,null,700000,East,District of Columbia,Washington,Individual,Second Owner,123606
131,12/6/2020 2:53:00 AM,12/27/2020 2:02:00 PM,690000,East,District of Columbia,Washington,Dealer,First Owner,123607
132,12/6/2020 7:08:00 AM,12/31/2020 11:27:00 AM,3975000,West,Washington,Seattle,Dealer,First Owner,123608
133,12/6/2020 7:53:00 AM,12/28/2020 10:24:00 AM,5150000,West,Washington,Seattle,Dealer,First Owner,123609
134,12/6/2020 8:28:00 AM,2/15/2021 1:35:00 PM,3200000,East,New York,New York City,Dealer,First Owner,123610
135,12/6/2020 8:58:00 AM,1/8/2021 1:08:00 PM,4100000,West,California,Los Angeles,Individual,First Owner,123611
136,12/6/2020 9:07:00 AM,12/31/2020 9:42:00 PM,4500000,West,California,Los Angeles,Dealer,First Owner,123612
137,12/6/2020 9:22:00 AM,12/13/2020 4:03:00 PM,6000000,West,California,Los Angeles,Dealer,First Owner,123613
138,12/6/2020 9:59:00 AM,12/27/2020 5:55:00 PM,3790000,West,California,Los Angeles,Dealer,First Owner,123614
140,12/6/2020 10:12:00 AM,12/27/2020 11:43:00 AM,5800000,East,New York,New York City,Dealer,First Owner,123616
141,12/6/2020 10:13:00 AM,1/7/2021 1:14:00 PM,1864999,West,California,San Diego,Dealer,First Owner,123617
142,12/6/2020 10:47:00 AM,1/7/2021 11:18:00 AM,2700000,West,California,San Diego,Dealer,First Owner,123618
143,12/6/2020 11:05:00 AM,12/27/2020 8:14:00 AM,1750000,West,California,San Diego,Dealer,First Owner,123619
144,12/6/2020 11:32:00 AM,1/1/2021 3:04:00 PM,795000,West,Washington,Seattle,Dealer,First Owner,123620
145,12/6/2020 12:21:00 PM,12/24/2020 8:55:00 PM,625000,East,District of Columbia,Washington,Dealer,First Owner,123621
146,12/6/2020 12:22:00 PM,12/27/2020 5:38:00 AM,3400000,East,District of Columbia,Washington,Dealer,First Owner,123622
147,12/6/2020 12:23:00 PM,null,2650000,West,California,Los Angeles,Dealer,First Owner,123623
148,12/6/2020 12:51:00 PM,12/18/2020 1:24:00 PM,535000,West,California,Los Angeles,Dealer,First Owner,123624
149,12/6/2020 1:02:00 PM,12/24/2020 6:13:00 PM,5850000,West,California,Los Angeles,Dealer,First Owner,123625
150,12/6/2020 1:07:00 PM,null,975000,East,District of Columbia,Washington,Dealer,Second Owner,123626
151,12/6/2020 1:16:00 PM,12/17/2020 7:08:00 PM,805000,East,District of Columbia,Washington,Dealer,First Owner,123627
152,12/6/2020 1:21:00 PM,null,2625000,East,New York,New York City,Dealer,First Owner,123628
153,12/6/2020 1:24:00 PM,null,811000,East,New York,New York City,Dealer,First Owner,123629
154,12/6/2020 1:38:00 PM,null,375000,East,District of Columbia,Washington,Individual,First Owner,123630
155,12/6/2020 1:39:00 PM,1/16/2021 10:54:00 AM,550000,East,New York,New York City,Individual,First Owner,123631
156,12/6/2020 2:36:00 PM,null,645000,East,Massachusetts,Boston,Dealer,First Owner,123632
157,12/6/2020 2:59:00 PM,1/17/2021 4:23:00 PM,2550000,Central,Illinois,Chicago,Dealer,First Owner,123633
158,12/6/2020 3:14:00 PM,12/27/2020 12:27:00 PM,599000,Central,Texas,Houston,Dealer,First Owner,123634
159,12/6/2020 3:19:00 PM,1/7/2021 4:26:00 PM,2700000,East,Massachusetts,Boston,Dealer,First Owner,123635
160,12/6/2020 4:13:00 PM,12/13/2020 4:51:00 PM,875000,East,Massachusetts,Boston,Dealer,First Owner,123636
161,12/6/2020 4:17:00 PM,1/10/2021 3:14:00 PM,894999,East,Massachusetts,Boston,Dealer,First Owner,123637
162,12/6/2020 4:34:00 PM,null,175000,South,North Carolina,Charlotte,Dealer,First Owner,123638
163,12/6/2020 4:43:00 PM,12/14/2020 3:59:00 PM,340000,West,Washington,Seattle,Dealer,First Owner,123639
164,12/6/2020 5:10:00 PM,12/17/2020 7:29:00 PM,1525000,West,Washington,Seattle,Dealer,Second Owner,123640
165,12/6/2020 5:42:00 PM,12/31/2020 11:38:00 AM,1025000,East,New York,New York City,Dealer,First Owner,123641
166,12/6/2020 5:45:00 PM,12/14/2020 8:29:00 AM,2150000,South,Florida,Miami,Dealer,First Owner,123642
167,12/6/2020 6:03:00 PM,12/15/2020 6:32:00 PM,1900000,East,New York,New York City,Dealer,First Owner,123643
168,12/6/2020 6:11:00 PM,12/26/2020 12:21:00 PM,2900000,East,District of Columbia,Washington,Dealer,First Owner,123644
169,12/6/2020 6:50:00 PM,12/13/2020 7:31:00 PM,450000,East,New York,New York City,Dealer,First Owner,123645
170,12/6/2020 7:33:00 PM,12/24/2020 4:21:00 PM,850000,West,California,Los Angeles,Individual,First Owner,123646
171,12/6/2020 7:38:00 PM,12/18/2020 6:34:00 PM,10000000,East,New York,New York City,Individual,First Owner,123647
172,12/6/2020 8:05:00 PM,12/14/2020 10:16:00 AM,300000,South,North Carolina,Charlotte,Individual,Second Owner,123648
173,12/6/2020 8:06:00 PM,12/15/2020 11:00:00 AM,575000,Central,Texas,Houston,Individual,First Owner,123649
174,12/6/2020 8:15:00 PM,12/24/2020 4:17:00 PM,160000,Central,Texas,Houston,Individual,First Owner,123650
175,12/6/2020 8:43:00 PM,null,515000,Central,Texas,Houston,Individual,First Owner,123651
176,12/6/2020 10:00:00 PM,12/27/2020 1:36:00 PM,390000,East,District of Columbia,Washington,Individual,Second Owner,123652
177,12/6/2020 10:23:00 PM,12/20/2020 11:58:00 PM,550000,West,Washington,Seattle,Individual,Second Owner,123653
178,12/6/2020 10:34:00 PM,12/18/2020 8:23:00 PM,40000,East,District of Columbia,Washington,Individual,Second Owner,123654
179,12/6/2020 11:21:00 PM,12/24/2020 4:25:00 PM,220000,East,District of Columbia,Washington,Individual,First Owner,123655
180,12/6/2020 11:49:00 PM,null,425000,East,New York,New York City,Individual,First Owner,123656
181,12/7/2020 12:54:00 AM,12/27/2020 5:32:00 PM,480000,East,New York,New York City,Individual,First Owner,123657
182,12/7/2020 2:41:00 AM,1/3/2021 9:13:00 AM,400000,Central,Texas,Dallas,Individual,Second Owner,123658
183,12/7/2020 8:28:00 AM,12/14/2020 9:09:00 AM,487000,South,Florida,Miami,Individual,First Owner,123659
184,12/7/2020 8:28:00 AM,12/15/2020 4:17:00 AM,386000,East,Pennsylvania,Philadelphia,Individual,Second Owner,123660
185,12/7/2020 8:49:00 AM,null,100000,East,Pennsylvania,Philadelphia,Individual,Second Owner,123661
186,12/7/2020 9:33:00 AM,12/18/2020 6:02:00 AM,300000,West,California,Los Angeles,Individual,First Owner,123662
187,12/7/2020 9:41:00 AM,1/7/2021 8:45:00 AM,100000,East,Massachusetts,Boston,Individual,First Owner,123663
188,12/7/2020 10:05:00 AM,12/20/2020 6:03:00 PM,1750000,East,Massachusetts,Boston,Individual,Second Owner,123664
189,12/7/2020 10:06:00 AM,1/1/2021 4:37:00 PM,450000,West,California,Los Angeles,Individual,Second Owner,123665
190,12/7/2020 10:11:00 AM,12/18/2020 5:21:00 PM,490000,West,California,Los Angeles,Individual,First Owner,123666
191,12/7/2020 10:18:00 AM,1/9/2021 11:51:00 AM,345000,West,California,Los Angeles,Individual,Second Owner,123667
192,12/7/2020 10:28:00 AM,12/20/2020 8:33:00 PM,85000,South,Georgia,Atlanta,Individual,First Owner,123668
193,12/7/2020 10:44:00 AM,12/31/2020 12:13:00 PM,215000,West,Washington,Seattle,Individual,Second Owner,123669
194,12/7/2020 10:45:00 AM,12/14/2020 12:13:00 PM,320000,Central,Illinois,Chicago,Individual,Third Owner,123670
195,12/7/2020 10:46:00 AM,null,459999,South,Georgia,Atlanta,Individual,Second Owner,123671
196,12/7/2020 10:52:00 AM,12/27/2020 9:37:00 AM,65000,South,Georgia,Atlanta,Individual,First Owner,123672
197,12/7/2020 10:57:00 AM,12/27/2020 12:41:00 PM,720000,South,Georgia,Atlanta,Individual,First Owner,123673
198,12/7/2020 11:20:00 AM,12/14/2020 12:14:00 PM,800000,West,California,Los Angeles,Individual,First Owner,123674
199,12/7/2020 11:33:00 AM,12/14/2020 12:15:00 PM,520000,East,Pennsylvania,Philadelphia,Individual,First Owner,123675
200,12/7/2020 11:37:00 AM,12/15/2020 3:51:00 AM,580000,West,California,San Francisco,Individual,First Owner,123676
202,12/7/2020 12:06:00 PM,12/19/2020 6:51:00 PM,600000,West,California,Los Angeles,Individual,First Owner,123678
203,12/7/2020 12:21:00 PM,null,290000,West,California,Los Angeles,Individual,Second Owner,123679
204,12/7/2020 2:15:00 PM,12/19/2020 12:47:00 AM,360000,Central,Illinois,Chicago,Individual,First Owner,123680
205,12/7/2020 2:40:00 PM,12/18/2020 1:37:00 AM,550000,Central,Illinois,Chicago,Individual,First Owner,123681
206,12/7/2020 2:42:00 PM,12/18/2020 5:56:00 AM,375000,East,Massachusetts,Boston,Individual,First Owner,123682
208,12/7/2020 2:42:00 PM,12/31/2020 10:44:00 AM,420000,Central,Texas,Houston,Individual,First Owner,123684
209,12/7/2020 2:52:00 PM,12/14/2020 3:07:00 PM,550000,Central,Texas,Houston,Individual,First Owner,123685
210,12/7/2020 3:12:00 PM,12/14/2020 3:59:00 PM,270000,East,Massachusetts,Boston,Individual,First Owner,123686
211,12/7/2020 3:53:00 PM,null,700000,Central,Illinois,Chicago,Individual,First Owner,123687
212,12/7/2020 4:50:00 PM,12/27/2020 10:07:00 AM,500000,Central,Illinois,Chicago,Individual,First Owner,123688
213,12/7/2020 4:56:00 PM,12/26/2020 3:27:00 PM,1250000,Central,Texas,Dallas,Individual,First Owner,123689
214,12/7/2020 5:09:00 PM,12/20/2020 7:07:00 PM,320000,South,Georgia,Atlanta,Individual,Second Owner,123690
215,12/7/2020 5:13:00 PM,12/24/2020 4:34:00 PM,700000,Central,Illinois,Chicago,Individual,First Owner,123691
216,12/7/2020 5:37:00 PM,12/30/2020 1:25:00 AM,290000,West,Washington,Seattle,Individual,First Owner,123692
217,12/7/2020 6:16:00 PM,null,550000,Central,Michigan,Detroit,Individual,First Owner,123693
218,12/7/2020 7:02:00 PM,12/14/2020 7:29:00 PM,265000,East,Massachusetts,Boston,Individual,First Owner,123694
219,12/7/2020 7:16:00 PM,12/14/2020 7:28:00 PM,830000,East,Massachusetts,Boston,Individual,First Owner,123695
220,12/7/2020 7:17:00 PM,null,800000,South,Georgia,Atlanta,Individual,First Owner,123696
221,12/7/2020 9:19:00 PM,12/20/2020 12:47:00 AM,160000,East,New York,New York City,Individual,Second Owner,123697
222,12/7/2020 9:30:00 PM,1/16/2021 11:47:00 PM,335000,South,Georgia,Atlanta,Individual,First Owner,123698
223,12/7/2020 9:50:00 PM,12/14/2020 10:15:00 PM,329000,South,Georgia,Atlanta,Individual,Second Owner,123699
224,12/7/2020 10:35:00 PM,12/25/2020 9:15:00 PM,775000,East,Pennsylvania,Philadelphia,Individual,First Owner,123700
225,12/7/2020 10:45:00 PM,null,524000,South,Georgia,Atlanta,Individual,First Owner,123701
226,12/7/2020 10:46:00 PM,12/28/2020 12:11:00 PM,245000,East,Massachusetts,Boston,Individual,First Owner,123702
227,12/7/2020 10:51:00 PM,12/28/2020 1:51:00 PM,275000,West,Washington,Seattle,Individual,Second Owner,123703
228,12/7/2020 11:18:00 PM,12/26/2020 2:47:00 PM,520000,West,Washington,Seattle,Individual,First Owner,123704
230,12/8/2020 1:28:00 AM,12/17/2020 6:39:00 PM,550000,Central,Michigan,Detroit,Individual,First Owner,123706
231,12/8/2020 2:18:00 AM,12/17/2020 12:03:00 PM,910000,Central,Michigan,Detroit,Individual,First Owner,123707
232,12/8/2020 4:01:00 AM,12/20/2020 9:12:00 PM,300000,Central,Michigan,Detroit,Individual,First Owner,123708
233,12/8/2020 7:02:00 AM,null,350000,East,Massachusetts,Boston,Individual,First Owner,123709
234,12/8/2020 8:05:00 AM,1/9/2021 1:41:00 PM,900000,East,Massachusetts,Boston,Individual,First Owner,123710
235,12/8/2020 8:25:00 AM,12/26/2020 12:05:00 PM,300000,Central,Illinois,Chicago,Individual,Second Owner,123711
236,12/8/2020 9:50:00 AM,12/25/2020 3:18:00 PM,250000,Central,Illinois,Chicago,Individual,Second Owner,123712
237,12/8/2020 9:55:00 AM,12/27/2020 11:51:00 PM,1100000,Central,Michigan,Detroit,Individual,First Owner,123713
238,12/8/2020 10:07:00 AM,1/4/2021 2:32:00 PM,270000,East,District of Columbia,Washington,Individual,First Owner,123714
239,12/8/2020 10:26:00 AM,12/28/2020 2:11:00 PM,640000,East,District of Columbia,Washington,Individual,First Owner,123715
240,12/8/2020 10:31:00 AM,1/18/2021 4:05:00 PM,650000,Central,Illinois,Chicago,Individual,First Owner,123716
241,12/8/2020 10:55:00 AM,12/27/2020 10:58:00 AM,409999,East,District of Columbia,Washington,Individual,First Owner,123717
242,12/8/2020 11:33:00 AM,12/15/2020 1:19:00 PM,165000,East,District of Columbia,Washington,Individual,First Owner,123718
243,12/8/2020 11:47:00 AM,null,80000,East,Pennsylvania,Philadelphia,Individual,Second Owner,123719
244,12/8/2020 11:50:00 AM,12/15/2020 1:22:00 PM,535000,East,Pennsylvania,Philadelphia,Individual,First Owner,123720
245,12/8/2020 12:13:00 PM,null,700000,West,California,Los Angeles,Individual,First Owner,123721
